make_f	model_f	make_w	model_w	class	drops	level	tempus	alp
BMC	Roadmachine	Roval	Rapide CLX	road	976200	21	3064.5	2959
BMC	Roadmachine	Shimano	C40	road	866200	21	3082.5	2967.5
BMC	Roadmachine	Shimano	C50	road	869600	28	3080.5	2971.5
BMC	Roadmachine	Shimano	C60	road	873200	21	3071.5	2975
BMC	Roadmachine	ZIPP	202	road	930100	21	3089.5	2958.5
BMC	Roadmachine	ZIPP	404	road	930100	21	3061.5	2960
BMC	Roadmachine	ZIPP	454	road	1064900	24	3058.5	2957
BMC	Roadmachine	ZIPP	808	road	958500	21	3052.5	2966
BMC	Roadmachine	ZIPP	858	road	1093300	37	3048.5	2963
BMC	Roadmachine	ZIPP	353 NSW	road	1036500	21	3065.5	2956
BMC	Roadmachine	ZIPP	808/Super9	road	1856600	35	3043.5	2975
BMC	Roadmachine	ZIPP	858/Super9	road	2289700	45	3041.5	2974
BMC	Roadmachine	Zwift	32mm Carbon	road	780900	21	3094.5	2964
BMC	Roadmachine	Zwift	50mm Carbon	road	901600	21	3082	2965
BMC	Roadmachine	Zwift	Buffalo Fahrrad	road	784100	40	3099.5	2971
BMC	Roadmachine	Zwift	Classic	road	816500	21	3100.5	2972
BMC	Roadmachine	Zwift	Safety	road	1490900	44	3095	2963.5
BMC	Teammachine SLR01	Bontrager	Aeolus 5	road	546600	20	3074.5	2943
BMC	Teammachine SLR01	CADEX	36	road	633600	26	3087	2938.5
BMC	Teammachine SLR01	CADEX	42	road	603400	19	3077.5	2941
BMC	Teammachine SLR01	CADEX	65	road	617600	21	3059	2940
BMC	Teammachine SLR01	Campagnolo	Bora Ultra 35	road	624700	33	3094	2940.5
BMC	Teammachine SLR01	Campagnolo	Bora Ultra 50	road	638900	27	3067.5	2940.5
BMC	Teammachine SLR01	DT Swiss	ARC 1100 DICUT 62	road	560800	19	3059.5	2939.5
BMC	Teammachine SLR01	DT Swiss	ARC 1100 DICUT DISC	road	1956000	42	3034	2958
BMC	Teammachine SLR01	ENVE	SES 2.2	road	567900	19	3093.5	2940.5
BMC	Teammachine SLR01	ENVE	SES 3.4	road	567900	19	3067.5	2939
BMC	Teammachine SLR01	ENVE	SES 6.7	road	567900	25	3061.5	2947
BMC	Teammachine SLR01	ENVE	SES 7.8	road	582100	39	3049	2943
BMC	Teammachine SLR01	ENVE	SES 8.9	road	582100	31	3050	2951.5
BMC	Teammachine SLR01	Giant	SLR 0	road	568000	22	3070.5	2939.5
BMC	Teammachine SLR01	Lightweight	Meilenstein	road	376200	19	3080	2931
BMC	Teammachine SLR01	Mavic	Comete Pro Carbon SL UST	road	518200	23	3068	2957.5
BMC	Teammachine SLR01	Mavic	Cosmic CXR60c	road	518200	19	3072	2955.5
BMC	Teammachine SLR01	Mavic	Cosmic Ultimate UST	road	518200	19	3074.5	2953
BMC	Teammachine SLR01	Roval	Alpinist CLX	road	511500	32	3080.5	2931
BMC	Teammachine SLR01	Roval	CLX64	road	546600	19	3063.5	2947
BMC	Teammachine SLR01	Roval	Rapide CLX	road	571500	19	3063.5	2942
BMC	Teammachine SLR01	Shimano	C40	road	461500	19	3081.5	2950.5
BMC	Teammachine SLR01	Shimano	C50	road	464900	28	3079.5	2954.5
BMC	Teammachine SLR01	Shimano	C60	road	468500	19	3070.5	2958
BMC	Teammachine SLR01	ZIPP	202	road	525400	19	3088.5	2941.5
BMC	Teammachine SLR01	ZIPP	404	road	525400	19	3060.5	2943
BMC	Teammachine SLR01	ZIPP	454	road	660200	24	3057.5	2940
BMC	Teammachine SLR01	ZIPP	808	road	553800	19	3051.5	2949
BMC	Teammachine SLR01	ZIPP	858	road	688600	37	3047.5	2946
BMC	Teammachine SLR01	ZIPP	353 NSW	road	631800	19	3064.5	2939
BMC	Teammachine SLR01	ZIPP	808/Super9	road	1451900	35	3042.5	2958
BMC	Teammachine SLR01	ZIPP	858/Super9	road	1885000	45	3040.5	2957
BMC	Teammachine SLR01	Zwift	32mm Carbon	road	376200	19	3093.5	2947
BMC	Teammachine SLR01	Zwift	50mm Carbon	road	496900	19	3081	2948
BMC	Teammachine SLR01	Zwift	Buffalo Fahrrad	road	379400	40	3098.5	2954
BMC	Teammachine SLR01	Zwift	Classic	road	411800	19	3099.5	2955
BMC	Teammachine SLR01	Zwift	Safety	road	1086200	44	3094	2946.5
Bridgestone	Anchor RS9s	Bontrager	Aeolus 5	road	681600	20	3074	2933.5
Bridgestone	Anchor RS9s	CADEX	36	road	768600	26	3086.5	2929
Bridgestone	Anchor RS9s	CADEX	42	road	738400	15	3077	2931.5
Bridgestone	Anchor RS9s	CADEX	65	road	752600	21	3058.5	2930.5
Bridgestone	Anchor RS9s	Campagnolo	Bora Ultra 35	road	759700	33	3093.5	2931
Bridgestone	Anchor RS9s	Campagnolo	Bora Ultra 50	road	773900	27	3067	2931
Bridgestone	Anchor RS9s	DT Swiss	ARC 1100 DICUT 62	road	695800	15	3059	2930
Bridgestone	Anchor RS9s	DT Swiss	ARC 1100 DICUT DISC	road	2091000	42	3033.5	2948.5
Bridgestone	Anchor RS9s	ENVE	SES 2.2	road	702900	17	3093	2931
Bridgestone	Anchor RS9s	ENVE	SES 3.4	road	702900	15	3067	2929.5
Bridgestone	Anchor RS9s	ENVE	SES 6.7	road	702900	25	3061	2937.5
Bridgestone	Anchor RS9s	ENVE	SES 7.8	road	717100	39	3048.5	2933.5
Bridgestone	Anchor RS9s	ENVE	SES 8.9	road	717100	31	3049.5	2942
Bridgestone	Anchor RS9s	Giant	SLR 0	road	703000	22	3070	2930
Bridgestone	Anchor RS9s	Lightweight	Meilenstein	road	511200	15	3079.5	2921.5
Bridgestone	Anchor RS9s	Mavic	Comete Pro Carbon SL UST	road	653200	23	3067.5	2948
Bridgestone	Anchor RS9s	Mavic	Cosmic CXR60c	road	653200	16	3071.5	2946
Bridgestone	Anchor RS9s	Mavic	Cosmic Ultimate UST	road	653200	15	3074	2943.5
Bridgestone	Anchor RS9s	Roval	Alpinist CLX	road	646500	32	3080	2921.5
Bridgestone	Anchor RS9s	Roval	CLX64	road	681600	15	3063	2937.5
Bridgestone	Anchor RS9s	Roval	Rapide CLX	road	706500	15	3063	2932.5
Bridgestone	Anchor RS9s	Shimano	C40	road	596500	15	3081	2941
Bridgestone	Anchor RS9s	Shimano	C50	road	599900	28	3079	2945
Bridgestone	Anchor RS9s	Shimano	C60	road	603500	18	3070	2948.5
Bridgestone	Anchor RS9s	ZIPP	202	road	660400	15	3088	2932
Bridgestone	Anchor RS9s	ZIPP	404	road	660400	15	3060	2933.5
Bridgestone	Anchor RS9s	ZIPP	454	road	795200	24	3057	2930.5
Bridgestone	Anchor RS9s	ZIPP	808	road	688800	15	3051	2939.5
Bridgestone	Anchor RS9s	ZIPP	858	road	823600	37	3047	2936.5
Bridgestone	Anchor RS9s	ZIPP	353 NSW	road	766800	19	3064	2929.5
Bridgestone	Anchor RS9s	ZIPP	808/Super9	road	1586900	35	3042	2948.5
Bridgestone	Anchor RS9s	ZIPP	858/Super9	road	2020000	45	3040	2947.5
Bridgestone	Anchor RS9s	Zwift	32mm Carbon	road	511200	15	3093	2937.5
Bridgestone	Anchor RS9s	Zwift	50mm Carbon	road	631900	15	3080.5	2938.5
Bridgestone	Anchor RS9s	Zwift	Buffalo Fahrrad	road	514400	40	3098	2944.5
Bridgestone	Anchor RS9s	Zwift	Classic	road	546800	15	3099	2945.5
Bridgestone	Anchor RS9s	Zwift	Safety	road	1221200	44	3093.5	2937
Cannondale	CAAD12	Bontrager	Aeolus 5	road	354900	20	3076	2966.5
Cannondale	CAAD12	CADEX	36	road	441900	26	3088.5	2962
Cannondale	CAAD12	CADEX	42	road	411700	8	3079	2964.5
Cannondale	CAAD12	CADEX	65	road	425900	21	3060.5	2963.5
Cannondale	CAAD12	Campagnolo	Bora Ultra 35	road	433000	33	3095.5	2964
Cannondale	CAAD12	Campagnolo	Bora Ultra 50	road	447200	27	3069	2964
Cannondale	CAAD12	DT Swiss	ARC 1100 DICUT 62	road	369100	6	3061	2963
Cannondale	CAAD12	DT Swiss	ARC 1100 DICUT DISC	road	1764300	42	3035.5	2981.5
Cannondale	CAAD12	ENVE	SES 2.2	road	376200	17	3095	2964
Cannondale	CAAD12	ENVE	SES 3.4	road	376200	4	3069	2962.5
Cannondale	CAAD12	ENVE	SES 6.7	road	376200	25	3063	2970.5
Cannondale	CAAD12	ENVE	SES 7.8	road	390400	39	3050.5	2966.5
Cannondale	CAAD12	ENVE	SES 8.9	road	390400	31	3051.5	2975
Cannondale	CAAD12	Giant	SLR 0	road	376300	22	3072	2963
Cannondale	CAAD12	Lightweight	Meilenstein	road	184500	2	3081.5	2954.5
Cannondale	CAAD12	Mavic	Comete Pro Carbon SL UST	road	326500	23	3069.5	2981
Cannondale	CAAD12	Mavic	Cosmic CXR60c	road	326500	16	3073.5	2979
Cannondale	CAAD12	Mavic	Cosmic Ultimate UST	road	326500	9	3076	2976.5
Cannondale	CAAD12	Roval	Alpinist CLX	road	319800	32	3082	2954.5
Cannondale	CAAD12	Roval	CLX64	road	354900	5	3065	2970.5
Cannondale	CAAD12	Roval	Rapide CLX	road	379800	14	3065	2965.5
Cannondale	CAAD12	Shimano	C40	road	269800	12	3083	2974
Cannondale	CAAD12	Shimano	C50	road	273200	28	3081	2978
Cannondale	CAAD12	Shimano	C60	road	276800	18	3072	2981.5
Cannondale	CAAD12	ZIPP	202	road	333700	11	3090	2965
Cannondale	CAAD12	ZIPP	404	road	333700	15	3062	2966.5
Cannondale	CAAD12	ZIPP	454	road	468500	24	3059	2963.5
Cannondale	CAAD12	ZIPP	808	road	362100	13	3053	2972.5
Cannondale	CAAD12	ZIPP	858	road	496900	37	3049	2969.5
Cannondale	CAAD12	ZIPP	353 NSW	road	440100	19	3066	2962.5
Cannondale	CAAD12	ZIPP	808/Super9	road	1260200	35	3044	2981.5
Cannondale	CAAD12	ZIPP	858/Super9	road	1693300	45	3042	2980.5
Cannondale	CAAD12	Zwift	32mm Carbon	road	184500	2	3095	2970.5
Cannondale	CAAD12	Zwift	50mm Carbon	road	305200	7	3082.5	2971.5
Cannondale	CAAD12	Zwift	Buffalo Fahrrad	road	187700	40	3100	2977.5
Cannondale	CAAD12	Zwift	Classic	road	220100	2	3101	2978.5
Cannondale	CAAD12	Zwift	Safety	road	894500	44	3095.5	2970
Cannondale	EVO	Bontrager	Aeolus 5	road	383400	20	3074	2930.5
Cannondale	EVO	CADEX	36	road	470400	26	3086.5	2926
Cannondale	EVO	CADEX	42	road	440200	9	3077	2928.5
Cannondale	EVO	CADEX	65	road	454400	21	3058.5	2927.5
Cannondale	EVO	Campagnolo	Bora Ultra 35	road	461500	33	3093.5	2928
Cannondale	EVO	Campagnolo	Bora Ultra 50	road	475700	27	3067	2928
Cannondale	EVO	DT Swiss	ARC 1100 DICUT 62	road	397600	9	3059	2927
Cannondale	EVO	DT Swiss	ARC 1100 DICUT DISC	road	1792800	42	3033.5	2945.5
Cannondale	EVO	ENVE	SES 2.2	road	404700	17	3093	2928
Cannondale	EVO	ENVE	SES 3.4	road	404700	9	3067	2926.5
Cannondale	EVO	ENVE	SES 6.7	road	404700	25	3061	2934.5
Cannondale	EVO	ENVE	SES 7.8	road	418900	39	3048.5	2930.5
Cannondale	EVO	ENVE	SES 8.9	road	418900	31	3049.5	2939
Cannondale	EVO	Giant	SLR 0	road	404800	22	3070	2927
Cannondale	EVO	Lightweight	Meilenstein	road	213000	9	3079.5	2918.5
Cannondale	EVO	Mavic	Comete Pro Carbon SL UST	road	355000	23	3067.5	2945
Cannondale	EVO	Mavic	Cosmic CXR60c	road	355000	16	3071.5	2943
Cannondale	EVO	Mavic	Cosmic Ultimate UST	road	355000	9	3074	2940.5
Cannondale	EVO	Roval	Alpinist CLX	road	348300	32	3080	2918.5
Cannondale	EVO	Roval	CLX64	road	383400	9	3063	2934.5
Cannondale	EVO	Roval	Rapide CLX	road	408300	14	3063	2929.5
Cannondale	EVO	Shimano	C40	road	298300	12	3081	2938
Cannondale	EVO	Shimano	C50	road	301700	28	3079	2942
Cannondale	EVO	Shimano	C60	road	305300	18	3070	2945.5
Cannondale	EVO	ZIPP	202	road	362200	11	3088	2929
Cannondale	EVO	ZIPP	404	road	362200	15	3060	2930.5
Cannondale	EVO	ZIPP	454	road	497000	24	3057	2927.5
Cannondale	EVO	ZIPP	808	road	390600	13	3051	2936.5
Cannondale	EVO	ZIPP	858	road	525400	37	3047	2933.5
Cannondale	EVO	ZIPP	353 NSW	road	468600	19	3064	2926.5
Cannondale	EVO	ZIPP	808/Super9	road	1288700	35	3042	2945.5
Cannondale	EVO	ZIPP	858/Super9	road	1721800	45	3040	2944.5
Cannondale	EVO	Zwift	32mm Carbon	road	213000	9	3093	2934.5
Cannondale	EVO	Zwift	50mm Carbon	road	333700	9	3080.5	2935.5
Cannondale	EVO	Zwift	Buffalo Fahrrad	road	216200	40	3098	2941.5
Cannondale	EVO	Zwift	Classic	road	248600	9	3099	2942.5
Cannondale	EVO	Zwift	Safety	road	923000	44	3093.5	2934
Cannondale	SuperSix EVO	Bontrager	Aeolus 5	road	986900	36	3071	2936
Cannondale	SuperSix EVO	CADEX	36	road	1073900	36	3083.5	2931.5
Cannondale	SuperSix EVO	CADEX	42	road	1043700	36	3074	2934
Cannondale	SuperSix EVO	CADEX	65	road	1057900	36	3055.5	2933
Cannondale	SuperSix EVO	Campagnolo	Bora Ultra 35	road	1065000	36	3090.5	2933.5
Cannondale	SuperSix EVO	Campagnolo	Bora Ultra 50	road	1079200	36	3064	2933.5
Cannondale	SuperSix EVO	DT Swiss	ARC 1100 DICUT 62	road	1001100	36	3056	2932.5
Cannondale	SuperSix EVO	DT Swiss	ARC 1100 DICUT DISC	road	2396300	42	3030.5	2951
Cannondale	SuperSix EVO	ENVE	SES 2.2	road	1008200	36	3090	2933.5
Cannondale	SuperSix EVO	ENVE	SES 3.4	road	1008200	36	3064	2932
Cannondale	SuperSix EVO	ENVE	SES 6.7	road	1008200	36	3058	2940
Cannondale	SuperSix EVO	ENVE	SES 7.8	road	1022400	39	3045.5	2936
Cannondale	SuperSix EVO	ENVE	SES 8.9	road	1022400	36	3046.5	2944.5
Cannondale	SuperSix EVO	Giant	SLR 0	road	1008300	36	3067	2932.5
Cannondale	SuperSix EVO	Lightweight	Meilenstein	road	816500	36	3076.5	2924
Cannondale	SuperSix EVO	Mavic	Comete Pro Carbon SL UST	road	958500	36	3064.5	2950.5
Cannondale	SuperSix EVO	Mavic	Cosmic CXR60c	road	958500	36	3068.5	2948.5
Cannondale	SuperSix EVO	Mavic	Cosmic Ultimate UST	road	958500	36	3071	2946
Cannondale	SuperSix EVO	Roval	Alpinist CLX	road	951800	36	3077	2924
Cannondale	SuperSix EVO	Roval	CLX64	road	986900	36	3060	2940
Cannondale	SuperSix EVO	Roval	Rapide CLX	road	1011800	36	3060	2935
Cannondale	SuperSix EVO	Shimano	C40	road	901800	36	3078	2943.5
Cannondale	SuperSix EVO	Shimano	C50	road	905200	36	3076	2947.5
Cannondale	SuperSix EVO	Shimano	C60	road	908800	36	3067	2951
Cannondale	SuperSix EVO	ZIPP	202	road	965700	36	3085	2934.5
Cannondale	SuperSix EVO	ZIPP	404	road	965700	36	3057	2936
Cannondale	SuperSix EVO	ZIPP	454	road	1100500	36	3054	2933
Cannondale	SuperSix EVO	ZIPP	808	road	994100	36	3048	2942
Cannondale	SuperSix EVO	ZIPP	858	road	1128900	37	3044	2939
Cannondale	SuperSix EVO	ZIPP	353 NSW	road	1072100	36	3061	2932
Cannondale	SuperSix EVO	ZIPP	808/Super9	road	1892200	36	3039	2951
Cannondale	SuperSix EVO	ZIPP	858/Super9	road	2325300	45	3037	2950
Cannondale	SuperSix EVO	Zwift	32mm Carbon	road	816500	36	3090	2940
Cannondale	SuperSix EVO	Zwift	50mm Carbon	road	937200	36	3077.5	2941
Cannondale	SuperSix EVO	Zwift	Buffalo Fahrrad	road	819700	40	3095	2947
Cannondale	SuperSix EVO	Zwift	Classic	road	852100	36	3096	2948
Cannondale	SuperSix EVO	Zwift	Safety	road	1526500	44	3090.5	2939.5
Cannondale	Synapse	Bontrager	Aeolus 5	road	468600	20	3074.5	2947
Cannondale	Synapse	CADEX	36	road	555600	26	3087	2942.5
Cannondale	Synapse	CADEX	42	road	525400	12	3077.5	2945
Cannondale	Synapse	CADEX	65	road	539600	21	3059	2944
Cannondale	Synapse	Campagnolo	Bora Ultra 35	road	546700	33	3094	2944.5
Cannondale	Synapse	Campagnolo	Bora Ultra 50	road	560900	27	3067.5	2944.5
Cannondale	Synapse	DT Swiss	ARC 1100 DICUT 62	road	482800	12	3059.5	2943.5
Cannondale	Synapse	DT Swiss	ARC 1100 DICUT DISC	road	1878000	42	3034	2962
Cannondale	Synapse	ENVE	SES 2.2	road	489900	17	3093.5	2944.5
Cannondale	Synapse	ENVE	SES 3.4	road	489900	12	3067.5	2943
Cannondale	Synapse	ENVE	SES 6.7	road	489900	25	3061.5	2951
Cannondale	Synapse	ENVE	SES 7.8	road	504100	39	3049	2947
Cannondale	Synapse	ENVE	SES 8.9	road	504100	31	3050	2955.5
Cannondale	Synapse	Giant	SLR 0	road	490000	22	3070.5	2943.5
Cannondale	Synapse	Lightweight	Meilenstein	road	298200	12	3080	2935
Cannondale	Synapse	Mavic	Comete Pro Carbon SL UST	road	440200	23	3068	2961.5
Cannondale	Synapse	Mavic	Cosmic CXR60c	road	440200	16	3072	2959.5
Cannondale	Synapse	Mavic	Cosmic Ultimate UST	road	440200	12	3074.5	2957
Cannondale	Synapse	Roval	Alpinist CLX	road	433500	32	3080.5	2935
Cannondale	Synapse	Roval	CLX64	road	468600	12	3063.5	2951
Cannondale	Synapse	Roval	Rapide CLX	road	493500	14	3063.5	2946
Cannondale	Synapse	Shimano	C40	road	383500	12	3081.5	2954.5
Cannondale	Synapse	Shimano	C50	road	386900	28	3079.5	2958.5
Cannondale	Synapse	Shimano	C60	road	390500	18	3070.5	2962
Cannondale	Synapse	ZIPP	202	road	447400	12	3088.5	2945.5
Cannondale	Synapse	ZIPP	404	road	447400	15	3060.5	2947
Cannondale	Synapse	ZIPP	454	road	582200	24	3057.5	2944
Cannondale	Synapse	ZIPP	808	road	475800	13	3051.5	2953
Cannondale	Synapse	ZIPP	858	road	610600	37	3047.5	2950
Cannondale	Synapse	ZIPP	353 NSW	road	553800	19	3064.5	2943
Cannondale	Synapse	ZIPP	808/Super9	road	1373900	35	3042.5	2962
Cannondale	Synapse	ZIPP	858/Super9	road	1807000	45	3040.5	2961
Cannondale	Synapse	Zwift	32mm Carbon	road	298200	12	3093.5	2951
Cannondale	Synapse	Zwift	50mm Carbon	road	418900	12	3081	2952
Cannondale	Synapse	Zwift	Buffalo Fahrrad	road	301400	40	3098.5	2958
Cannondale	Synapse	Zwift	Classic	road	333800	12	3099.5	2959
Cannondale	Synapse	Zwift	Safety	road	1008200	44	3094	2950.5
Cannondale	SystemSix	Bontrager	Aeolus 5	road	667400	27	3061	2960.5
Cannondale	SystemSix	CADEX	36	road	754400	27	3073.5	2956
Cannondale	SystemSix	CADEX	42	road	724200	27	3064	2958.5
Cannondale	SystemSix	CADEX	65	road	738400	27	3045.5	2957.5
Cannondale	SystemSix	Campagnolo	Bora Ultra 35	road	745500	33	3080.5	2958
Cannondale	SystemSix	Campagnolo	Bora Ultra 50	road	759700	27	3054	2958
Cannondale	SystemSix	DT Swiss	ARC 1100 DICUT 62	road	681600	27	3046	2957
Cannondale	SystemSix	DT Swiss	ARC 1100 DICUT DISC	road	2076800	42	3020.5	2975.5
Cannondale	SystemSix	ENVE	SES 2.2	road	688700	27	3080	2958
Cannondale	SystemSix	ENVE	SES 3.4	road	688700	27	3054	2956.5
Cannondale	SystemSix	ENVE	SES 6.7	road	688700	27	3048	2964.5
Cannondale	SystemSix	ENVE	SES 7.8	road	702900	39	3035.5	2960.5
Cannondale	SystemSix	ENVE	SES 8.9	road	702900	31	3036.5	2969
Cannondale	SystemSix	Giant	SLR 0	road	688800	27	3057	2957
Cannondale	SystemSix	Lightweight	Meilenstein	road	497000	27	3066.5	2948.5
Cannondale	SystemSix	Mavic	Comete Pro Carbon SL UST	road	639000	27	3054.5	2975
Cannondale	SystemSix	Mavic	Cosmic CXR60c	road	639000	27	3058.5	2973
Cannondale	SystemSix	Mavic	Cosmic Ultimate UST	road	639000	27	3061	2970.5
Cannondale	SystemSix	Roval	Alpinist CLX	road	632300	32	3067	2948.5
Cannondale	SystemSix	Roval	CLX64	road	667400	27	3050	2964.5
Cannondale	SystemSix	Roval	Rapide CLX	road	692300	27	3050	2959.5
Cannondale	SystemSix	Shimano	C40	road	582300	27	3068	2968
Cannondale	SystemSix	Shimano	C50	road	585700	28	3066	2972
Cannondale	SystemSix	Shimano	C60	road	589300	27	3057	2975.5
Cannondale	SystemSix	ZIPP	202	road	646200	27	3075	2959
Cannondale	SystemSix	ZIPP	404	road	646200	27	3047	2960.5
Cannondale	SystemSix	ZIPP	454	road	781000	27	3044	2957.5
Cannondale	SystemSix	ZIPP	808	road	674600	27	3038	2966.5
Cannondale	SystemSix	ZIPP	858	road	809400	37	3034	2963.5
Cannondale	SystemSix	ZIPP	353 NSW	road	752600	27	3051	2956.5
Cannondale	SystemSix	ZIPP	808/Super9	road	1572700	35	3029	2975.5
Cannondale	SystemSix	ZIPP	858/Super9	road	2005800	45	3027	2974.5
Cannondale	SystemSix	Zwift	32mm Carbon	road	497000	27	3080	2964.5
Cannondale	SystemSix	Zwift	50mm Carbon	road	617700	27	3067.5	2965.5
Cannondale	SystemSix	Zwift	Buffalo Fahrrad	road	500200	40	3085	2971.5
Cannondale	SystemSix	Zwift	Classic	road	532600	27	3086	2972.5
Cannondale	SystemSix	Zwift	Safety	road	1207000	44	3080.5	2964
Canyon	Aeroad	Bontrager	Aeolus 5	road	702900	23	3062.5	2956
Canyon	Aeroad	CADEX	36	road	789900	26	3075	2951.5
Canyon	Aeroad	CADEX	42	road	759700	23	3065.5	2954
Canyon	Aeroad	CADEX	65	road	773900	23	3047	2953
Canyon	Aeroad	Campagnolo	Bora Ultra 35	road	781000	33	3082	2953.5
Canyon	Aeroad	Campagnolo	Bora Ultra 50	road	795200	27	3055.5	2953.5
Canyon	Aeroad	DT Swiss	ARC 1100 DICUT 62	road	717100	23	3047.5	2952.5
Canyon	Aeroad	DT Swiss	ARC 1100 DICUT DISC	road	2112300	42	3022	2971
Canyon	Aeroad	ENVE	SES 2.2	road	724200	23	3081.5	2953.5
Canyon	Aeroad	ENVE	SES 3.4	road	724200	23	3055.5	2952
Canyon	Aeroad	ENVE	SES 6.7	road	724200	25	3049.5	2960
Canyon	Aeroad	ENVE	SES 7.8	road	738400	39	3037	2956
Canyon	Aeroad	ENVE	SES 8.9	road	738400	31	3038	2964.5
Canyon	Aeroad	Giant	SLR 0	road	724300	23	3058.5	2952.5
Canyon	Aeroad	Lightweight	Meilenstein	road	532500	23	3068	2944
Canyon	Aeroad	Mavic	Comete Pro Carbon SL UST	road	674500	23	3056	2970.5
Canyon	Aeroad	Mavic	Cosmic CXR60c	road	674500	23	3060	2968.5
Canyon	Aeroad	Mavic	Cosmic Ultimate UST	road	674500	23	3062.5	2966
Canyon	Aeroad	Roval	Alpinist CLX	road	667800	32	3068.5	2944
